Looking in indexes: https://pypi.org/simple, http://100.95.241.19
Requirement already satisfied: SekitobaLibrary in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (1.2.114)
Requirement already satisfied: requests in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (2.28.1)
Requirement already satisfied: pandas in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (1.5.2)
Requirement already satisfied: lightgbm in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (3.3.3)
Requirement already satisfied: numpy in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (1.24.1)
Requirement already satisfied: matplotlib in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (3.6.2)
Requirement already satisfied: tqdm in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (4.64.1)
Requirement already satisfied: statistics in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (1.0.3.5)
Requirement already satisfied: boto3 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (1.26.42)
Requirement already satisfied: torch in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (1.13.1)
Requirement already satisfied: mpi4py in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (3.1.4)
Requirement already satisfied: trueskill in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (0.4.5)
Requirement already satisfied: bs4 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (0.0.1)
Requirement already satisfied: jpholiday in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from SekitobaLibrary) (0.1.8)
Requirement already satisfied: botocore<1.30.0,>=1.29.42 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from boto3->SekitobaLibrary) (1.29.42)
Requirement already satisfied: jmespath<2.0.0,>=0.7.1 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from boto3->SekitobaLibrary) (1.0.1)
Requirement already satisfied: s3transfer<0.7.0,>=0.6.0 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from boto3->SekitobaLibrary) (0.6.0)
Requirement already satisfied: beautifulsoup4 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from bs4->SekitobaLibrary) (4.11.1)
Requirement already satisfied: wheel in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from lightgbm->SekitobaLibrary) (0.38.4)
Requirement already satisfied: scipy in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from lightgbm->SekitobaLibrary) (1.9.3)
Requirement already satisfied: scikit-learn!=0.22.0 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from lightgbm->SekitobaLibrary) (1.2.0)
Requirement already satisfied: contourpy>=1.0.1 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from matplotlib->SekitobaLibrary) (1.0.6)
Requirement already satisfied: cycler>=0.10 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from matplotlib->SekitobaLibrary) (0.11.0)
Requirement already satisfied: fonttools>=4.22.0 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from matplotlib->SekitobaLibrary) (4.38.0)
Requirement already satisfied: kiwisolver>=1.0.1 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from matplotlib->SekitobaLibrary) (1.4.4)
Requirement already satisfied: packaging>=20.0 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from matplotlib->SekitobaLibrary) (22.0)
Requirement already satisfied: pillow>=6.2.0 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from matplotlib->SekitobaLibrary) (9.3.0)
Requirement already satisfied: pyparsing>=2.2.1 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from matplotlib->SekitobaLibrary) (3.0.9)
Requirement already satisfied: python-dateutil>=2.7 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from matplotlib->SekitobaLibrary) (2.8.2)
Requirement already satisfied: pytz>=2020.1 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from pandas->SekitobaLibrary) (2022.7)
Requirement already satisfied: charset-normalizer<3,>=2 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from requests->SekitobaLibrary) (2.1.1)
Requirement already satisfied: idna<4,>=2.5 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from requests->SekitobaLibrary) (3.4)
Requirement already satisfied: urllib3<1.27,>=1.21.1 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from requests->SekitobaLibrary) (1.26.13)
Requirement already satisfied: certifi>=2017.4.17 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from requests->SekitobaLibrary) (2022.12.7)
Requirement already satisfied: docutils>=0.3 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from statistics->SekitobaLibrary) (0.19)
Requirement already satisfied: typing-extensions in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from torch->SekitobaLibrary) (4.4.0)
Requirement already satisfied: six in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from trueskill->SekitobaLibrary) (1.16.0)
Requirement already satisfied: joblib>=1.1.1 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from scikit-learn!=0.22.0->lightgbm->SekitobaLibrary) (1.2.0)
Requirement already satisfied: threadpoolctl>=2.0.0 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from scikit-learn!=0.22.0->lightgbm->SekitobaLibrary) (3.1.0)
Requirement already satisfied: soupsieve>1.2 in /Users/kansei/.pyenv/versions/3.10.1/lib/python3.10/site-packages (from beautifulsoup4->bs4->SekitobaLibrary) (2.3.2.post1)
wrap_data.pickle download finish Gilgamesh
race_money_data.pickle download finish Gilgamesh
next_race_data.pickle download finish Gilgamesh
predict_pace_data.pickle download finish Gilgamesh
start rank:3
start rank:5
start rank:1
start rank:2
start rank:4























1-instance.pickle download finish Gilgamesh
2-instance.pickle download finish Gilgamesh
3-instance.pickle download finish Gilgamesh
4-instance.pickle download finish Gilgamesh
5-instance.pickle download finish Gilgamesh
first_passing_rank_learn_data.pickle download finish Gilgamesh
first_passing_rank_simu_data.pickle download finish Gilgamesh
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.729461 seconds.
You can set `force_col_wise=true` to remove the overhead.
[LightGBM] [Info] Total Bins 47862
[LightGBM] [Info] Number of data points in the train set: 632073, number of used features: 258
[LightGBM] [Info] Start training from score 7.467908
[1]	training's l2: 19.3935	valid_1's l2: 18.696
Training until validation scores don't improve for 30 rounds
[2]	training's l2: 19.2368	valid_1's l2: 18.5392
[3]	training's l2: 19.0835	valid_1's l2: 18.3854
[4]	training's l2: 18.9341	valid_1's l2: 18.2354
[5]	training's l2: 18.7882	valid_1's l2: 18.0893
[6]	training's l2: 18.6456	valid_1's l2: 17.9469
[7]	training's l2: 18.5061	valid_1's l2: 17.8071
[8]	training's l2: 18.37	valid_1's l2: 17.6711
[9]	training's l2: 18.2367	valid_1's l2: 17.5375
[10]	training's l2: 18.1065	valid_1's l2: 17.4075
[11]	training's l2: 17.9792	valid_1's l2: 17.2809
[12]	training's l2: 17.8548	valid_1's l2: 17.1562
[13]	training's l2: 17.7332	valid_1's l2: 17.0349
[14]	training's l2: 17.6145	valid_1's l2: 16.9163
[15]	training's l2: 17.4977	valid_1's l2: 16.7998
[16]	training's l2: 17.3839	valid_1's l2: 16.6866
[17]	training's l2: 17.2722	valid_1's l2: 16.5753
[18]	training's l2: 17.1636	valid_1's l2: 16.4668
[19]	training's l2: 17.0567	valid_1's l2: 16.3603
[20]	training's l2: 16.9528	valid_1's l2: 16.2569
[21]	training's l2: 16.8506	valid_1's l2: 16.1545
[22]	training's l2: 16.7514	valid_1's l2: 16.0554
[23]	training's l2: 16.6539	valid_1's l2: 15.9585
[24]	training's l2: 16.5592	valid_1's l2: 15.8641
[25]	training's l2: 16.4656	valid_1's l2: 15.7719
[26]	training's l2: 16.3746	valid_1's l2: 15.6806
[27]	training's l2: 16.285	valid_1's l2: 15.5919
[28]	training's l2: 16.1972	valid_1's l2: 15.5049
[29]	training's l2: 16.1121	valid_1's l2: 15.4199
[30]	training's l2: 16.0279	valid_1's l2: 15.3371
[31]	training's l2: 15.9465	valid_1's l2: 15.2564
[32]	training's l2: 15.8668	valid_1's l2: 15.1771
[33]	training's l2: 15.7877	valid_1's l2: 15.0989
[34]	training's l2: 15.7117	valid_1's l2: 15.0231
[35]	training's l2: 15.6358	valid_1's l2: 14.9484
[36]	training's l2: 15.5627	valid_1's l2: 14.8757
[37]	training's l2: 15.4914	valid_1's l2: 14.8048
[38]	training's l2: 15.4205	valid_1's l2: 14.735
[39]	training's l2: 15.352	valid_1's l2: 14.6673
[40]	training's l2: 15.2843	valid_1's l2: 14.6
[41]	training's l2: 15.2187	valid_1's l2: 14.535
[42]	training's l2: 15.1534	valid_1's l2: 14.4711
[43]	training's l2: 15.0906	valid_1's l2: 14.4093
[44]	training's l2: 15.0284	valid_1's l2: 14.3477
[45]	training's l2: 14.9682	valid_1's l2: 14.288
[46]	training's l2: 14.9093	valid_1's l2: 14.2301
[47]	training's l2: 14.851	valid_1's l2: 14.1724
[48]	training's l2: 14.7945	valid_1's l2: 14.1167
[49]	training's l2: 14.7384	valid_1's l2: 14.0618
[50]	training's l2: 14.684	valid_1's l2: 14.008
[51]	training's l2: 14.6305	valid_1's l2: 13.9549
[52]	training's l2: 14.5782	valid_1's l2: 13.9036
[53]	training's l2: 14.5264	valid_1's l2: 13.8536
[54]	training's l2: 14.4767	valid_1's l2: 13.8045
[55]	training's l2: 14.4281	valid_1's l2: 13.7562
[56]	training's l2: 14.3799	valid_1's l2: 13.7086
[57]	training's l2: 14.3317	valid_1's l2: 13.661
[58]	training's l2: 14.286	valid_1's l2: 13.6162
[59]	training's l2: 14.2398	valid_1's l2: 13.5711
[60]	training's l2: 14.196	valid_1's l2: 13.5282
[61]	training's l2: 14.1513	valid_1's l2: 13.4845
[62]	training's l2: 14.1089	valid_1's l2: 13.4429
[63]	training's l2: 14.0659	valid_1's l2: 13.4009
[64]	training's l2: 14.025	valid_1's l2: 13.3606
[65]	training's l2: 13.984	valid_1's l2: 13.3207
[66]	training's l2: 13.9452	valid_1's l2: 13.2829
[67]	training's l2: 13.9059	valid_1's l2: 13.2446
[68]	training's l2: 13.8681	valid_1's l2: 13.2077
[69]	training's l2: 13.8299	valid_1's l2: 13.1708
[70]	training's l2: 13.7937	valid_1's l2: 13.1356
[71]	training's l2: 13.7575	valid_1's l2: 13.1004
[72]	training's l2: 13.7216	valid_1's l2: 13.0659
[73]	training's l2: 13.6875	valid_1's l2: 13.0325
[74]	training's l2: 13.6541	valid_1's l2: 13.0001
[75]	training's l2: 13.6207	valid_1's l2: 12.9678
[76]	training's l2: 13.5876	valid_1's l2: 12.9362
[77]	training's l2: 13.5562	valid_1's l2: 12.9058
[78]	training's l2: 13.525	valid_1's l2: 12.8757
[79]	training's l2: 13.495	valid_1's l2: 12.8469
[80]	training's l2: 13.4643	valid_1's l2: 12.8175
[81]	training's l2: 13.4349	valid_1's l2: 12.7894
[82]	training's l2: 13.4051	valid_1's l2: 12.761
[83]	training's l2: 13.3767	valid_1's l2: 12.7338
[84]	training's l2: 13.3481	valid_1's l2: 12.7064
[85]	training's l2: 13.3208	valid_1's l2: 12.6804
[86]	training's l2: 13.2929	valid_1's l2: 12.6539
[87]	training's l2: 13.2667	valid_1's l2: 12.6289
[88]	training's l2: 13.2409	valid_1's l2: 12.6043
[89]	training's l2: 13.215	valid_1's l2: 12.5794
[90]	training's l2: 13.19	valid_1's l2: 12.5557
[91]	training's l2: 13.1646	valid_1's l2: 12.5315
[92]	training's l2: 13.1409	valid_1's l2: 12.5091
[93]	training's l2: 13.1168	valid_1's l2: 12.4863
[94]	training's l2: 13.0938	valid_1's l2: 12.4648
[95]	training's l2: 13.0703	valid_1's l2: 12.4426
[96]	training's l2: 13.048	valid_1's l2: 12.4216
[97]	training's l2: 13.0254	valid_1's l2: 12.4006
[98]	training's l2: 13.0036	valid_1's l2: 12.3803
[99]	training's l2: 12.9822	valid_1's l2: 12.3603
[100]	training's l2: 12.9613	valid_1's l2: 12.3408
[101]	training's l2: 12.941	valid_1's l2: 12.3216
[102]	training's l2: 12.9204	valid_1's l2: 12.3025
[103]	training's l2: 12.9009	valid_1's l2: 12.2845
[104]	training's l2: 12.8809	valid_1's l2: 12.2659
[105]	training's l2: 12.8621	valid_1's l2: 12.2484
[106]	training's l2: 12.8429	valid_1's l2: 12.2307
[107]	training's l2: 12.8247	valid_1's l2: 12.2138
[108]	training's l2: 12.8064	valid_1's l2: 12.1967
[109]	training's l2: 12.7886	valid_1's l2: 12.1803
[110]	training's l2: 12.7714	valid_1's l2: 12.1647
[111]	training's l2: 12.7537	valid_1's l2: 12.1486
[112]	training's l2: 12.737	valid_1's l2: 12.1335
[113]	training's l2: 12.7198	valid_1's l2: 12.1179
[114]	training's l2: 12.7035	valid_1's l2: 12.103
[115]	training's l2: 12.687	valid_1's l2: 12.0881
[116]	training's l2: 12.6714	valid_1's l2: 12.0741
[117]	training's l2: 12.6556	valid_1's l2: 12.06
[118]	training's l2: 12.6406	valid_1's l2: 12.0465
[119]	training's l2: 12.6248	valid_1's l2: 12.0324
[120]	training's l2: 12.6105	valid_1's l2: 12.0195
[121]	training's l2: 12.5956	valid_1's l2: 12.0062
[122]	training's l2: 12.5817	valid_1's l2: 11.9937
[123]	training's l2: 12.5671	valid_1's l2: 11.9807
[124]	training's l2: 12.5527	valid_1's l2: 11.9681
[125]	training's l2: 12.5394	valid_1's l2: 11.9561
